contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260918P00390000,2026-08-18 13:31:15+00:00,390.0,0.02,0.01,0.02,0.0,0.0,400.0,1191,0.6953155468750001,False,REGULAR,USD
SPY260918P00395000,2026-08-11 18:43:12+00:00,395.0,0.03,0.01,0.02,0.0,0.0,4.0,2292,0.6835969140625001,False,REGULAR,USD
SPY260918P00400000,2026-08-18 15:30:37+00:00,400.0,0.02,0.01,0.02,0.01,100.0,319.0,24016,0.6718782812500002,False,REGULAR,USD
SPY260918P00405000,2026-08-14 18:18:49+00:00,405.0,0.02,0.02,0.03,0.0,0.0,1.0,2939,0.6875031250000001,False,REGULAR,USD
SPY260918P00410000,2026-08-11 15:29:38+00:00,410.0,0.04,0.02,0.03,0.0,0.0,5.0,637,0.6718782812500002,False,REGULAR,USD
SPY260918P00415000,2026-08-14 14:05:25+00:00,415.0,0.03,0.02,0.03,0.0,0.0,3000.0,105332,0.6601596484375001,False,REGULAR,USD
SPY260918P00420000,2026-08-17 15:19:04+00:00,420.0,0.03,0.02,0.03,0.0,0.0,100.0,105776,0.648441015625,False,REGULAR,USD
SPY260918P00425000,2026-08-13 17:48:13+00:00,425.0,0.03,0.02,0.03,0.0,0.0,3.0,100547,0.6367223828125,False,REGULAR,USD
SPY260918P00430000,2026-08-17 19:50:06+00:00,430.0,0.02,0.02,0.03,0.0,0.0,2.0,1616,0.6250037500000001,False,REGULAR,USD
SPY260918P00435000,2026-08-13 19:02:42+00:00,435.0,0.03,0.03,0.04,0.0,0.0,1000.0,1845,0.6289099609375001,False,REGULAR,USD
SPY260918P00440000,2026-08-17 17:21:12+00:00,440.0,0.03,0.03,0.04,0.0,0.0,1.0,4690,0.6171913281250001,False,REGULAR,USD
SPY260918P00445000,2026-08-17 19:49:56+00:00,445.0,0.03,0.03,0.04,0.0,0.0,2.0,822,0.6054726953125001,False,REGULAR,USD
SPY260918P00450000,2026-08-17 16:09:55+00:00,450.0,0.04,0.03,0.04,0.0,0.0,10.0,12701,0.5937540625000001,False,REGULAR,USD
SPY260918P00455000,2026-08-18 17:19:28+00:00,455.0,0.04,0.03,0.04,0.01,33.333336,11.0,4304,0.5820354296875,False,REGULAR,USD
SPY260918P00460000,2026-08-18 15:04:58+00:00,460.0,0.05,0.04,0.05,0.010000002,25.000004,2.0,572,0.5839885351562499,False,REGULAR,USD
SPY260918P00465000,2026-08-18 15:05:11+00:00,465.0,0.04,0.04,0.05,0.0,0.0,1.0,559,0.5722699023437501,False,REGULAR,USD
SPY260918P00470000,2026-08-18 17:22:10+00:00,470.0,0.05,0.04,0.05,0.0,0.0,11.0,9404,0.5625043750000001,False,REGULAR,USD
SPY260918P00475000,2026-08-17 16:16:18+00:00,475.0,0.04,0.05,0.06,0.0,0.0,2.0,1814,0.56055126953125,False,REGULAR,USD
SPY260918P00480000,2026-08-17 20:06:53+00:00,480.0,0.05,0.05,0.06,0.0,0.0,107.0,10906,0.5488326367187502,False,REGULAR,USD
SPY260918P00485000,2026-08-18 13:31:57+00:00,485.0,0.05,0.05,0.06,-0.02,-28.571428,1.0,803,0.5371140039062501,False,REGULAR,USD
SPY260918P00490000,2026-08-18 14:51:04+00:00,490.0,0.06,0.06,0.07,0.0,0.0,1.0,1238,0.5351608984375,False,REGULAR,USD
SPY260918P00495000,2026-08-18 14:35:56+00:00,495.0,0.07,0.06,0.07,0.010000002,16.66667,3.0,2871,0.523442265625,False,REGULAR,USD
SPY260918P00500000,2026-08-18 14:34:08+00:00,500.0,0.08,0.07,0.08,0.02,33.333336,20.0,9465,0.5195360546875,False,REGULAR,USD
SPY260918P00505000,2026-08-18 14:07:48+00:00,505.0,0.08,0.07,0.08,0.009999998,14.285711,3000.0,5885,0.507817421875,False,REGULAR,USD
SPY260918P00510000,2026-08-18 14:51:16+00:00,510.0,0.09,0.08,0.09,0.020000003,28.571432,1.0,2542,0.5039112109375,False,REGULAR,USD
SPY260918P00515000,2026-08-14 20:11:46+00:00,515.0,0.09,0.08,0.09,0.0,0.0,34.0,201847,0.495122236328125,False,REGULAR,USD
SPY260918P00520000,2026-08-18 18:07:34+00:00,520.0,0.1,0.09,0.1,0.0,0.0,3.0,210128,0.4892629199218751,False,REGULAR,USD
SPY260918P00525000,2026-08-18 18:16:05+00:00,525.0,0.11,0.1,0.11,0.009999998,9.999997,83.0,209019,0.48340360351562506,False,REGULAR,USD
SPY260918P00530000,2026-08-18 16:30:56+00:00,530.0,0.1,0.1,0.11,0.0,0.0,12.0,3286,0.471684970703125,False,REGULAR,USD
SPY260918P00535000,2026-08-17 19:41:52+00:00,535.0,0.12,0.11,0.12,0.0,0.0,64.0,1886,0.46484910156250003,False,REGULAR,USD
SPY260918P00540000,2026-08-18 13:51:41+00:00,540.0,0.14,0.12,0.13,0.020000003,16.66667,1.0,2967,0.4580132324218751,False,REGULAR,USD
SPY260918P00545000,2026-08-17 13:30:01+00:00,545.0,0.12,0.13,0.14,0.0,0.0,1.0,5008,0.45117736328125,False,REGULAR,USD
SPY260918P00550000,2026-08-18 18:09:18+00:00,550.0,0.16,0.14,0.15,0.030000001,23.076923,30.0,18301,0.44336494140625,False,REGULAR,USD
SPY260918P00555000,2026-08-18 14:22:14+00:00,555.0,0.16,0.15,0.16,0.019999996,14.285711,1.0,1138,0.43555251953125,False,REGULAR,USD
SPY260918P00560000,2026-08-17 16:52:47+00:00,560.0,0.15,0.17,0.18,0.0,0.0,1059.0,3885,0.43066975585937506,False,REGULAR,USD
SPY260918P00565000,2026-08-18 18:35:15+00:00,565.0,0.18,0.18,0.19,0.010000005,5.5555587,3.0,10871,0.42236905761718746,False,REGULAR,USD
SPY260918P00570000,2026-08-14 17:51:33+00:00,570.0,0.2,0.19,0.2,0.030000001,17.647058,15001.0,21789,0.41358008300781246,False,REGULAR,USD
SPY260918P00575000,2026-08-18 17:45:08+00:00,575.0,0.22,0.21,0.22,0.03999999,22.222216,53.0,13379,0.40772076660156253,False,REGULAR,USD
SPY260918P00580000,2026-08-18 17:24:09+00:00,580.0,0.23,0.22,0.23,0.010000005,4.545457,6.0,11235,0.39893179199218753,False,REGULAR,USD
SPY260918P00585000,2026-08-18 17:24:09+00:00,585.0,0.25,0.24,0.25,0.030000001,13.636364,2.0,8940,0.3918517846679687,False,REGULAR,USD
SPY260918P00590000,2026-08-18 17:44:21+00:00,590.0,0.26,0.26,0.27,0.029999986,13.043471,27.0,20232,0.38477177734374995,False,REGULAR,USD
SPY260918P00595000,2026-08-17 19:41:26+00:00,595.0,0.28,0.28,0.29,0.0,0.0,13.0,8140,0.37720349365234374,False,REGULAR,USD
SPY260918P00600000,2026-08-18 18:00:04+00:00,600.0,0.31,0.3,0.31,0.030000001,10.714286,150.0,62782,0.36939107177734376,False,REGULAR,USD
SPY260918P00601000,2026-08-18 14:23:20+00:00,601.0,0.32,0.3,0.31,0.049999982,18.51851,1.0,1636,0.367193828125,False,REGULAR,USD
SPY260918P00602000,2026-08-17 19:49:52+00:00,602.0,0.29,0.31,0.32,0.0,0.0,5.0,79,0.3667055517578125,False,REGULAR,USD
SPY260918P00603000,2026-08-07 14:50:28+00:00,603.0,0.42,0.32,0.33,0.0,0.0,10.0,1536,0.36597313720703123,False,REGULAR,USD
SPY260918P00604000,2026-08-07 15:55:02+00:00,604.0,0.42,0.32,0.33,0.0,0.0,10.0,1028,0.36377589355468753,False,REGULAR,USD
SPY260918P00605000,2026-08-18 15:25:47+00:00,605.0,0.35,0.32,0.33,0.049999982,16.66666,2.0,51801,0.36133451171875,False,REGULAR,USD
SPY260918P00606000,2026-08-17 14:27:23+00:00,606.0,0.28,0.33,0.34,0.0,0.0,10.0,517,0.36084623535156246,False,REGULAR,USD
SPY260918P00607000,2026-08-18 16:21:28+00:00,607.0,0.34,0.33,0.34,0.03999999,13.333329,53.0,86,0.358404853515625,False,REGULAR,USD
SPY260918P00608000,2026-08-03 17:42:19+00:00,608.0,0.73,0.34,0.35,0.0,0.0,2.0,88,0.35767243896484374,False,REGULAR,USD
SPY260918P00609000,2026-08-18 16:17:01+00:00,609.0,0.35,0.34,0.35,0.03999999,12.903223,4.0,135,0.35547519531249994,False,REGULAR,USD
SPY260918P00610000,2026-08-18 18:22:15+00:00,610.0,0.35,0.35,0.36,0.01999998,6.0606,19.0,51532,0.35474278076171867,False,REGULAR,USD
SPY260918P00611000,2026-08-17 13:30:17+00:00,611.0,0.3,0.35,0.36,0.0,0.0,200.0,453,0.352545537109375,False,REGULAR,USD
SPY260918P00612000,2026-08-18 16:18:09+00:00,612.0,0.37,0.36,0.37,0.03999999,12.121209,7.0,277,0.35156898437499995,False,REGULAR,USD
SPY260918P00613000,2026-08-18 14:58:37+00:00,613.0,0.38,0.36,0.37,0.049999982,15.151508,63.0,315,0.3493717407226562,False,REGULAR,USD
SPY260918P00614000,2026-08-13 15:52:43+00:00,614.0,0.36,0.37,0.38,0.0,0.0,61.0,1151,0.34839518798828123,False,REGULAR,USD
SPY260918P00615000,2026-08-18 15:24:19+00:00,615.0,0.4,0.38,0.39,0.050000012,14.285717,5.0,104603,0.3474186352539062,False,REGULAR,USD
SPY260918P00616000,2026-08-18 15:03:50+00:00,616.0,0.4,0.38,0.39,0.050000012,14.285717,21.0,308,0.3452213916015625,False,REGULAR,USD
SPY260918P00617000,2026-08-18 16:21:28+00:00,617.0,0.39,0.39,0.4,-0.09,-18.75,52.0,193,0.3442448388671875,False,REGULAR,USD
SPY260918P00618000,2026-08-18 18:09:54+00:00,618.0,0.42,0.39,0.4,0.049999982,13.513508,3.0,682,0.34204759521484374,False,REGULAR,USD
SPY260918P00619000,2026-08-18 16:17:01+00:00,619.0,0.4,0.4,0.41,0.060000002,17.647058,24.0,301,0.34107104248046877,False,REGULAR,USD
SPY260918P00620000,2026-08-18 17:02:55+00:00,620.0,0.41,0.4,0.41,0.02000001,5.1282077,151.0,158066,0.33887379882812496,False,REGULAR,USD
SPY260918P00621000,2026-08-13 19:52:31+00:00,621.0,0.39,0.41,0.42,0.0,0.0,1.0,655,0.33765310791015624,False,REGULAR,USD
SPY260918P00622000,2026-08-18 15:04:26+00:00,622.0,0.43,0.42,0.43,0.04000002,10.256415,10.0,823,0.33667655517578127,False,REGULAR,USD
SPY260918P00623000,2026-08-10 14:02:18+00:00,623.0,0.5,0.42,0.43,0.0,0.0,3.0,239,0.33447931152343746,False,REGULAR,USD
SPY260918P00624000,2026-08-17 14:28:45+00:00,624.0,0.37,0.43,0.44,0.0,0.0,320.0,806,0.3332586206054688,False,REGULAR,USD
SPY260918P00625000,2026-08-18 18:11:44+00:00,625.0,0.46,0.43,0.44,0.050000012,12.195125,25.0,132865,0.331061376953125,False,REGULAR,USD
SPY260918P00626000,2026-08-13 16:22:14+00:00,626.0,0.42,0.44,0.45,0.0,0.0,4.0,339,0.32996275512695306,False,REGULAR,USD
SPY260918P00627000,2026-08-18 15:44:27+00:00,627.0,0.48,0.45,0.46,0.06999999,17.073168,1.0,407,0.3288641333007812,False,REGULAR,USD
SPY260918P00628000,2026-08-12 15:54:00+00:00,628.0,0.5,0.45,0.46,0.0,0.0,100.0,364,0.3265448205566406,False,REGULAR,USD
SPY260918P00629000,2026-08-14 17:04:29+00:00,629.0,0.42,0.46,0.47,0.0,0.0,15.0,213,0.3254461987304687,False,REGULAR,USD
SPY260918P00630000,2026-08-18 16:56:53+00:00,630.0,0.47,0.47,0.48,0.030000001,6.818182,115.0,11521,0.3242255078124999,False,REGULAR,USD
SPY260918P00631000,2026-08-18 13:43:12+00:00,631.0,0.47,0.47,0.48,0.030000001,6.818182,1.0,375,0.3219061950683593,False,REGULAR,USD
SPY260918P00632000,2026-08-17 13:49:51+00:00,632.0,0.4,0.48,0.49,0.0,0.0,2.0,486,0.3205634350585937,False,REGULAR,USD
SPY260918P00633000,2026-08-18 15:04:26+00:00,633.0,0.51,0.49,0.5,0.049999982,10.869561,22.0,583,0.3193427441406249,False,REGULAR,USD
SPY260918P00634000,2026-08-18 16:27:35+00:00,634.0,0.5,0.49,0.5,-0.24000001,-32.43243,52.0,715,0.3171455004882812,False,REGULAR,USD
SPY260918P00635000,2026-08-18 15:21:39+00:00,635.0,0.55,0.5,0.51,0.08000001,17.021278,104.0,8573,0.31592480957031244,False,REGULAR,USD
SPY260918P00636000,2026-08-10 16:06:05+00:00,636.0,0.58,0.51,0.52,0.0,0.0,10.0,263,0.31445998046874996,False,REGULAR,USD
SPY260918P00637000,2026-08-14 18:13:49+00:00,637.0,0.46,0.52,0.53,0.0,0.0,8.0,448,0.31323928955078123,False,REGULAR,USD
SPY260918P00638000,2026-08-18 16:29:11+00:00,638.0,0.53,0.52,0.53,0.07999998,17.777775,2.0,581,0.3109199768066406,False,REGULAR,USD
SPY260918P00639000,2026-08-18 14:43:54+00:00,639.0,0.54,0.53,0.54,0.04000002,8.000004,30.0,669,0.309577216796875,False,REGULAR,USD
SPY260918P00640000,2026-08-18 15:45:07+00:00,640.0,0.57,0.54,0.55,0.060000002,11.764706,251.0,12486,0.30823445678710937,False,REGULAR,USD
SPY260918P00641000,2026-08-11 19:00:36+00:00,641.0,0.69,0.55,0.56,0.0,0.0,5.0,399,0.30689169677734374,False,REGULAR,USD
SPY260918P00642000,2026-08-18 14:58:37+00:00,642.0,0.59,0.56,0.57,0.07999998,15.686271,482.0,545,0.30542686767578126,False,REGULAR,USD
SPY260918P00643000,2026-08-17 13:34:03+00:00,643.0,0.47,0.57,0.58,0.0,0.0,4.0,285,0.3039620385742187,False,REGULAR,USD
SPY260918P00644000,2026-08-14 15:52:56+00:00,644.0,0.55,0.57,0.58,0.0,0.0,1.0,209,0.301764794921875,False,REGULAR,USD
SPY260918P00645000,2026-08-18 16:09:13+00:00,645.0,0.59,0.58,0.59,0.03999996,7.2727203,700.0,6312,0.3002999658203125,False,REGULAR,USD
SPY260918P00646000,2026-08-18 15:45:07+00:00,646.0,0.61,0.59,0.6,0.100000024,19.607847,6.0,476,0.29883513671874995,False,REGULAR,USD
SPY260918P00647000,2026-08-18 15:45:07+00:00,647.0,0.62,0.6,0.61,-0.01999998,-3.1249971,3.0,246,0.2973703076171874,False,REGULAR,USD
SPY260918P00648000,2026-08-11 13:30:37+00:00,648.0,0.73,0.61,0.62,0.0,0.0,21.0,267,0.295905478515625,False,REGULAR,USD
SPY260918P00649000,2026-08-18 15:04:25+00:00,649.0,0.65,0.62,0.63,0.07999998,14.035085,29.0,784,0.29431858032226554,False,REGULAR,USD
SPY260918P00650000,2026-08-18 17:00:50+00:00,650.0,0.64,0.63,0.64,0.050000012,8.474578,204.0,93486,0.29273168212890616,False,REGULAR,USD
SPY260918P00651000,2026-08-18 15:04:25+00:00,651.0,0.67,0.64,0.65,0.06999999,11.666665,28.0,1093,0.2912668530273437,False,REGULAR,USD
SPY260918P00652000,2026-08-13 16:45:51+00:00,652.0,0.62,0.65,0.66,0.0,0.0,4.0,420,0.28967995483398434,False,REGULAR,USD
SPY260918P00653000,2026-08-18 15:45:07+00:00,653.0,0.68,0.66,0.67,0.06999999,11.475408,3.0,467,0.2880930566406249,False,REGULAR,USD
SPY260918P00654000,2026-08-13 17:44:31+00:00,654.0,0.63,0.67,0.68,0.0,0.0,5.0,486,0.28650615844726557,False,REGULAR,USD
SPY260918P00655000,2026-08-18 18:42:15+00:00,655.0,0.69,0.68,0.69,0.060000002,9.67742,253.0,31169,0.2849192602539062,False,REGULAR,USD
SPY260918P00656000,2026-08-18 14:45:56+00:00,656.0,0.7,0.69,0.7,0.050000012,7.6923094,1.0,380,0.2833323620605468,False,REGULAR,USD
SPY260918P00657000,2026-08-18 15:04:25+00:00,657.0,0.73,0.7,0.71,0.120000005,19.67213,80.0,719,0.28174546386718746,False,REGULAR,USD
SPY260918P00658000,2026-08-18 15:45:07+00:00,658.0,0.74,0.71,0.72,0.13999999,23.33333,267.0,478,0.28003649658203117,False,REGULAR,USD
SPY260918P00659000,2026-08-12 14:31:22+00:00,659.0,0.79,0.72,0.73,0.0,0.0,20.0,664,0.2784495983886719,False,REGULAR,USD
SPY260918P00660000,2026-08-18 18:35:48+00:00,660.0,0.74,0.73,0.74,0.050000012,7.3529425,6193.0,84483,0.27674063110351554,False,REGULAR,USD
SPY260918P00661000,2026-08-18 15:17:00+00:00,661.0,0.8,0.74,0.75,0.120000005,17.647058,62.0,634,0.27503166381835936,False,REGULAR,USD
SPY260918P00662000,2026-08-18 15:45:07+00:00,662.0,0.79,0.75,0.76,0.08000004,11.2676115,107.0,1260,0.273444765625,False,REGULAR,USD
SPY260918P00663000,2026-08-18 15:45:07+00:00,663.0,0.8,0.77,0.78,0.13999999,21.212118,380.0,634,0.27234614379882804,False,REGULAR,USD
SPY260918P00664000,2026-08-18 15:45:07+00:00,664.0,0.81,0.78,0.79,0.07999998,10.958901,6.0,593,0.2706371765136719,False,REGULAR,USD
SPY260918P00665000,2026-08-18 16:34:12+00:00,665.0,0.82,0.79,0.8,0.06999999,9.333332,1098.0,110259,0.2688061401367187,False,REGULAR,USD
SPY260918P00666000,2026-08-18 15:45:07+00:00,666.0,0.84,0.8,0.81,0.119999945,16.666658,821.0,587,0.26709717285156254,False,REGULAR,USD
SPY260918P00667000,2026-08-18 15:45:07+00:00,667.0,0.85,0.82,0.83,0.08000004,10.389616,7.0,910,0.2659985510253906,False,REGULAR,USD
SPY260918P00668000,2026-08-18 16:02:12+00:00,668.0,0.85,0.83,0.84,0.13,18.055555,905.0,1073,0.26416751464843746,False,REGULAR,USD
SPY260918P00669000,2026-08-18 17:42:31+00:00,669.0,0.87,0.84,0.85,0.06999999,8.749999,523.0,445,0.2623975128173829,False,REGULAR,USD
SPY260918P00670000,2026-08-18 17:59:50+00:00,670.0,0.9,0.86,0.87,0.099999964,12.499995,19620.0,72682,0.2611157873535156,False,REGULAR,USD
SPY260918P00671000,2026-08-18 15:02:54+00:00,671.0,0.94,0.87,0.88,0.13999999,17.499998,2.0,1596,0.259345785522461,False,REGULAR,USD
SPY260918P00672000,2026-08-18 15:55:18+00:00,672.0,0.91,0.89,0.9,0.060000002,7.058823,5.0,1047,0.2580640600585938,False,REGULAR,USD
SPY260918P00673000,2026-08-18 15:45:07+00:00,673.0,0.95,0.9,0.91,0.120000005,14.457831,17.0,877,0.25623302368164064,False,REGULAR,USD
SPY260918P00674000,2026-08-18 15:04:26+00:00,674.0,0.96,0.91,0.92,0.120000005,14.285715,2.0,3071,0.25440198730468755,False,REGULAR,USD
SPY260918P00675000,2026-08-18 18:34:39+00:00,675.0,0.94,0.93,0.94,0.06999999,8.045976,1110.0,21516,0.2530592272949219,False,REGULAR,USD
SPY260918P00676000,2026-08-18 16:45:36+00:00,676.0,0.98,0.95,0.96,0.110000014,12.643681,11.0,694,0.25165543273925783,False,REGULAR,USD
SPY260918P00677000,2026-08-18 17:56:06+00:00,677.0,0.99,0.97,0.98,0.18,22.222221,278.0,924,0.25025163818359375,False,REGULAR,USD
SPY260918P00678000,2026-08-18 18:01:37+00:00,678.0,1.03,0.99,1.0,0.17999995,21.176464,14.0,1093,0.2488478436279297,False,REGULAR,USD
SPY260918P00679000,2026-08-18 14:41:01+00:00,679.0,1.0,1.0,1.01,0.060000002,6.382979,2.0,1133,0.24695577270507812,False,REGULAR,USD
SPY260918P00680000,2026-08-18 18:18:53+00:00,680.0,1.04,1.02,1.03,0.07999998,8.333331,1985.0,23409,0.24549094360351562,False,REGULAR,USD
SPY260918P00681000,2026-08-17 16:46:11+00:00,681.0,0.91,1.03,1.04,0.0,0.0,337.0,572,0.24353783813476562,False,REGULAR,USD
SPY260918P00682000,2026-08-18 16:16:58+00:00,682.0,1.08,1.06,1.07,0.15000004,16.129036,3.0,959,0.24243921630859372,False,REGULAR,USD
SPY260918P00683000,2026-08-18 15:09:23+00:00,683.0,1.14,1.08,1.09,0.13999999,13.999998,1.0,612,0.24097438720703124,False,REGULAR,USD
SPY260918P00684000,2026-08-18 14:17:19+00:00,684.0,1.12,1.09,1.1,0.110000014,10.891091,1.0,697,0.2389602471923828,False,REGULAR,USD
SPY260918P00685000,2026-08-18 18:39:25+00:00,685.0,1.12,1.12,1.13,0.08000004,7.692312,234.0,14463,0.23780059082031246,False,REGULAR,USD
SPY260918P00686000,2026-08-18 14:53:24+00:00,686.0,1.18,1.14,1.15,0.14999998,14.563106,40.0,870,0.2362136926269531,False,REGULAR,USD
SPY260918P00687000,2026-08-18 15:22:06+00:00,687.0,1.26,1.17,1.18,0.18999994,17.757004,4.0,573,0.2350540362548828,False,REGULAR,USD
SPY260918P00688000,2026-08-18 18:38:11+00:00,688.0,1.19,1.19,1.2,0.100000024,9.174314,75.0,2480,0.233406103515625,False,REGULAR,USD
SPY260918P00689000,2026-08-18 18:38:19+00:00,689.0,1.21,1.21,1.22,0.20000005,19.801985,52.0,719,0.23169713623046873,False,REGULAR,USD
SPY260918P00690000,2026-08-18 18:22:15+00:00,690.0,1.23,1.24,1.25,0.100000024,8.849559,252.0,20127,0.2304764453125,False,REGULAR,USD
SPY260918P00691000,2026-08-18 18:30:24+00:00,691.0,1.26,1.25,1.26,0.13999999,12.499998,12.0,483,0.2283402362060547,False,REGULAR,USD
SPY260918P00692000,2026-08-18 18:15:33+00:00,692.0,1.31,1.28,1.29,0.13,11.01695,11.0,2356,0.22699747619628902,False,REGULAR,USD
SPY260918P00693000,2026-08-18 15:34:34+00:00,693.0,1.39,1.31,1.32,0.21000004,17.796614,56.0,1182,0.22565471618652344,False,REGULAR,USD
SPY260918P00694000,2026-08-18 18:30:24+00:00,694.0,1.35,1.34,1.35,0.13,10.655738,8.0,911,0.22425092163085933,False,REGULAR,USD
SPY260918P00695000,2026-08-18 17:51:19+00:00,695.0,1.4,1.37,1.38,0.14999998,11.999998,235.0,6445,0.22284712707519527,False,REGULAR,USD
SPY260918P00696000,2026-08-18 15:26:08+00:00,696.0,1.52,1.39,1.4,0.26,20.63492,7.0,1073,0.22101609069824218,False,REGULAR,USD
SPY260918P00697000,2026-08-18 15:04:26+00:00,697.0,1.48,1.42,1.43,0.25,20.325203,31.0,819,0.21955126159667968,False,REGULAR,USD
SPY260918P00698000,2026-08-18 18:09:52+00:00,698.0,1.51,1.45,1.46,0.20000005,15.2671795,4.0,2078,0.2180253979492187,False,REGULAR,USD
SPY260918P00699000,2026-08-18 18:09:45+00:00,699.0,1.55,1.49,1.5,0.32999992,27.049173,50.0,1222,0.21680470703125,False,REGULAR,USD
SPY260918P00700000,2026-08-18 18:37:12+00:00,700.0,1.52,1.52,1.53,0.15999997,11.764703,2387.0,58883,0.21521780883789063,False,REGULAR,USD
SPY260918P00701000,2026-08-18 15:45:13+00:00,701.0,1.62,1.55,1.56,0.22000003,15.714289,10.0,1546,0.21363091064453127,False,REGULAR,USD
SPY260918P00702000,2026-08-18 17:29:41+00:00,702.0,1.61,1.58,1.59,0.24000001,17.518248,48.0,829,0.21198297790527343,False,REGULAR,USD
SPY260918P00703000,2026-08-18 15:37:18+00:00,703.0,1.73,1.62,1.63,0.27999997,19.31034,11.0,620,0.21070125244140625,False,REGULAR,USD
SPY260918P00704000,2026-08-18 18:11:01+00:00,704.0,1.71,1.66,1.67,0.23000002,15.540542,105.0,1271,0.20929745788574217,False,REGULAR,USD
SPY260918P00705000,2026-08-18 18:12:00+00:00,705.0,1.76,1.69,1.7,0.26,17.333334,247.0,9288,0.20758849060058593,False,REGULAR,USD
SPY260918P00706000,2026-08-18 17:05:49+00:00,706.0,1.74,1.73,1.74,0.16999996,10.828023,3.0,926,0.2061236614990234,False,REGULAR,USD
SPY260918P00707000,2026-08-18 18:11:01+00:00,707.0,1.84,1.77,1.78,0.26,16.455696,166.0,1766,0.2046588323974609,False,REGULAR,USD
SPY260918P00708000,2026-08-18 16:02:12+00:00,708.0,1.84,1.81,1.82,0.26,16.455696,8.0,1139,0.20313296874999998,False,REGULAR,USD
SPY260918P00709000,2026-08-18 16:49:22+00:00,709.0,1.86,1.85,1.86,0.23000002,14.110431,41.0,7361,0.20160710510253904,False,REGULAR,USD
SPY260918P00710000,2026-08-18 18:34:12+00:00,710.0,1.92,1.9,1.91,0.24000001,14.285715,6850.0,51083,0.2002643450927734,False,REGULAR,USD
SPY260918P00711000,2026-08-18 18:32:47+00:00,711.0,1.95,1.94,1.95,0.23000002,13.372094,288.0,2566,0.19867744689941402,False,REGULAR,USD
SPY260918P00712000,2026-08-18 17:58:39+00:00,712.0,2.05,1.98,2.0,0.31999993,18.497105,17.0,1744,0.19727365234375,False,REGULAR,USD
SPY260918P00713000,2026-08-18 18:35:27+00:00,713.0,2.03,2.04,2.05,0.27999997,15.999998,40.0,1138,0.19586985778808597,False,REGULAR,USD
SPY260918P00714000,2026-08-18 18:36:06+00:00,714.0,2.09,2.09,2.1,0.25999987,14.207643,184.0,1713,0.1943745114135742,False,REGULAR,USD
